long_id,treatment,time,pres,accmag,mean_strain,roi,zeroX,ODBA
U300911094144,50rpm_modified,4.786,101.48180338541667,-1.985608765184509,88.9550080032504,unlabeled,0,7.023999820277093
U300911094144,50rpm_modified,4.797,101.6304667154948,-1.889860943885516,93.24893063096621,unlabeled,0,6.331400130316613
U300911094144,50rpm_modified,4.807,101.7748067220052,-1.37957309290198,64.94601576397818,unlabeled,0,5.929299696013329
U300911094144,50rpm_modified,4.817,101.77913614908854,-1.2002091786023037,58.395254842072134,unlabeled,0,5.674899968281388
U300911094144,50rpm_modified,4.828,101.8094706217448,-1.379988342315274,79.81952192527496,unlabeled,0,6.7609998098760835
U300911094144,50rpm_modified,4.838,101.87046915690104,-1.5429325832680814,114.10113978491364,unlabeled,0,7.312100097313523
U300911094144,50rpm_modified,4.848,101.99880167643228,-1.274597245315654,59.81144703284763,unlabeled,0,5.6429996455460785
U300911094144,50rpm_modified,4.859,101.94380493164063,-1.4656543459596456,109.53165266685373,unlabeled,0,6.323299998417496
U300911094144,50rpm_modified,4.869,101.9764668782552,-1.4759374862253782,96.94637822266304,unlabeled,0,7.227699767723679
U300911094144,50rpm_modified,4.879,102.1901346842448,-1.497864278391484,128.96069331380193,unlabeled,0,6.651599816456436
U300911094144,50rpm_modified,4.89,102.37980143229166,-0.8332409035958772,59.800982558538,unlabeled,0,6.132800225391983
U300911094144,50rpm_modified,4.9,102.27046915690104,-0.4609198872212854,86.66328812801945,unlabeled,0,6.683599863424899
U300911094144,50rpm_modified,4.91,103.85714111328124,-0.9635259205671768,1253.2045151502673,unlabeled,0,4.687600206509234
U300911094144,50rpm_modified,4.92,101.27746785481773,15.88946246675244,1235.6765206707612,unlabeled,1,23.86559919886291
U300911094144,50rpm_modified,4.931,102.28547159830728,1.471870512844955,1115.2025160273415,unlabeled,0,7.110800121352077
U300911094144,50rpm_modified,4.941,102.48980102539062,-1.5967424386822415,770.0074136032842,unlabeled,0,3.7585004494339223
U300911094144,50rpm_modified,4.951,102.6468017578125,0.2269962887104864,135.3544871209466,unlabeled,0,5.723399488553406
U300911094144,50rpm_modified,4.961,102.76147054036457,-0.9269934671059428,249.37539926942364,unlabeled,0,4.5608000653423355
U300911094144,50rpm_modified,4.972,102.77947184244792,-0.41388392030421173,168.96637862433394,unlabeled,0,4.811299597863107
U300911094144,50rpm_modified,4.982,102.95580240885415,-0.5369959740772412,154.5114514356626,unlabeled,0,5.765500135067849
U300911094144,50rpm_modified,4.992,102.76079915364585,-0.1633941205500271,82.09728916809091,unlabeled,0,5.624900352600962
U300911094144,50rpm_modified,5.003,102.83146565755207,-0.22721310160019925,4.367173947928697,unlabeled,0,7.332100133541969
U300911094144,50rpm_modified,5.013,103.00413411458332,-0.5516143906790436,125.52485758000167,unlabeled,0,8.031800225619225
